baños_familiares,area_bruta,parqueaderos,alcobas_familiares,estrato,juegos_infantiles,balcon,camaras_cctv,ascensor,unidad_cerrada_conjunto,zonas_verdes,turco,sauna,calentador_de_agua,closet_de_linos,biblioteca,parqueadero_visitantes,gimnasio,piscina,salon_social,tipo_cocina_freq,tipo_pisos_freq,precio,precio_pred
0.2,0.03189493433395872,0.0,0.2,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04228406216118546,0.06298802706923488,900000.0,1279901.1026402172
0.8,0.30206378986866794,0.6666666666666666,0.6000000000000001,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2790213430504947,7500000.0,4950312.202732367
0.4,0.29455909943714825,0.6666666666666666,0.6000000000000001,0.8333333333333333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0000000000000002,4200000.0,4114163.479232043
0.2,0.05440900562851783,0.0,0.2,0.8333333333333333,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1624154086413327,3000000.0,3297992.6963332407
0.4,0.0900562851782364,0.0,0.6000000000000001,0.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.09215757137694257,1.0000000000000002,1100000.0,1214562.7366803766
0.4,0.09943714821763602,0.3333333333333333,0.4,0.6666666666666666,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000002,1550000.0,1884591.2689966615
0.4,0.07129455909943715,0.0,0.4,0.6666666666666666,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2790213430504947,1100000.0,1407765.9911809477
0.4,0.1651031894934334,0.0,0.6000000000000001,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.09215757137694257,1.0000000000000002,1800000.0,2433583.4257400315
0.2,0.061913696060037535,0.0,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09215757137694257,0.06298802706923488,600000.0,1194390.846346378
0.8,0.2626641651031895,0.6666666666666666,0.6000000000000001,0.8333333333333333,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,6800000.0,5434908.898655661
