oob_r2,R2_train,R2_test,max_depth,max_features,n_estimators,diff
0.7023052822014604,0.8129836017996331,0.7349690686255053,7,3,40,0.07801453317412788
0.7027206353963638,0.8132793601901822,0.7347884767413797,7,3,45,0.0784908834488025
0.7051360004162577,0.8141384542353473,0.7332379318708651,7,3,50,0.0809005223644822
0.7059924987164325,0.8143370930766888,0.7327445972576967,7,3,70,0.08159249581899208
0.7059400875917412,0.8145564850794941,0.7324691953579312,7,3,60,0.08208728972156287
0.7065101420997033,0.8150986423626082,0.7329960307588619,7,3,100,0.08210261160374632
0.705336306202203,0.826861789987322,0.7330146976483589,7,5,70,0.09384709233896305
0.7059097243341073,0.8270412307294768,0.7325425093905107,7,5,60,0.09449872133896609
0.706378034713754,0.828059025576183,0.7329215695318162,7,5,100,0.09513745604436685
0.7057779975677516,0.8271065361706632,0.7313000118519728,7,5,50,0.09580652431869041
0.7045290020132026,0.8277421968857399,0.7308569734820647,7,5,45,0.09688522340367522
0.7046464515042743,0.8272410590937549,0.7303382292314353,7,5,40,0.09690282986231957
0.6966514459943843,0.8288426150065293,0.7266915650929957,7,7,50,0.10215104991353363
0.6966514459943843,0.8288426150065293,0.7266915650929957,7,10,50,0.10215104991353363
0.6963933192501035,0.8291050383233525,0.7265483711025873,7,7,40,0.10255666722076517
0.6963933192501035,0.8291050383233525,0.7265483711025873,7,10,40,0.10255666722076517
0.696723731707491,0.8290581011377243,0.7264163976578059,7,10,45,0.10264170347991841
0.696723731707491,0.8290581011377243,0.7264163976578057,7,7,45,0.10264170347991852
0.7012983721396047,0.8293179853495903,0.7257581619477973,7,7,70,0.10355982340179304
0.7012983721396047,0.8293179853495903,0.7257581619477973,7,10,70,0.10355982340179304
0.69979519934884,0.829105299114781,0.7252991778372657,7,7,60,0.10380612127751532
0.69979519934884,0.829105299114781,0.7252991778372657,7,10,60,0.10380612127751532
0.703648782772381,0.8298533969514528,0.7235235069698412,7,7,100,0.10632988998161153
0.703648782772381,0.8298533969514528,0.7235235069698412,7,10,100,0.10632988998161153
0.7011617430126669,0.9013106871142312,0.732792781569287,10,3,50,0.16851790554494428
0.7092024832374293,0.9041066337202397,0.7355827949748686,10,3,100,0.16852383874537114
0.7024550760378929,0.9018149900776259,0.732493295920925,10,3,60,0.16932169415670084
0.7044575431457106,0.9027592175638244,0.7332376694604721,10,3,70,0.1695215481033523
0.6992543842910276,0.9019083451382779,0.7321351120336764,10,3,40,0.16977323310460146
0.7002752147344605,0.9018592660352185,0.7318961829811553,10,3,45,0.16996308305406316
0.7098160966697848,0.9128322308048586,0.7332790052128559,10,5,70,0.1795532255920027
0.707298841947979,0.9118931299411179,0.731793161253938,10,5,60,0.18009996868717992
0.7042432378107446,0.9119252532795521,0.7312414588838496,10,5,50,0.18068379439570248
0.7031713886661772,0.912363104842162,0.731209893466852,10,5,45,0.18115321137531004
0.7023190059828737,0.9121260266276128,0.7307810858736696,10,5,40,0.18134494075394314
0.7125954366791105,0.9140036114415393,0.7320408147161157,10,5,100,0.1819627967254236
0.6957524045115033,0.9127681715095326,0.7234192683405696,10,7,50,0.18934890316896302
0.6957524045115033,0.9127681715095327,0.7234192683405696,10,10,50,0.18934890316896313
0.6924027564644573,0.9127919816428373,0.723285342798464,10,7,40,0.18950663884437324
0.6924027564644573,0.9127919816428373,0.723285342798464,10,10,40,0.18950663884437324
0.7022467514294857,0.9130367326669506,0.7229664546945463,10,10,70,0.19007027797240428
0.7022467514294857,0.9130367326669506,0.7229664546945463,10,7,70,0.19007027797240428
0.694161021963863,0.9129936402383362,0.7222846563226424,10,10,45,0.1907089839156938
0.694161021963863,0.9129936402383362,0.7222846563226424,10,7,45,0.1907089839156938
0.6995387383323528,0.9130374133795848,0.7220104327496473,10,7,60,0.1910269806299375
0.6995387383323528,0.9130374133795848,0.7220104327496473,10,10,60,0.1910269806299375
