oob_r2,R2_train,R2_test,max_depth,max_features,n_estimators,diff
0.7368956961745248,0.8051186639446941,0.761153128538884,7,3,40,0.04396553540581016
0.7418832218758626,0.8069220822964693,0.7623345341648722,7,3,50,0.044587548131597154
0.7430486490665158,0.8079512967832483,0.7629557332669704,7,3,60,0.04499556351627787
0.7407485911033289,0.8072595286825603,0.7616057148817711,7,3,45,0.045653813800789256
0.7611675825763088,0.8349112352361521,0.7808461904232711,7,5,45,0.05406504481288099
0.7634056206202772,0.835458690876497,0.7804768037332964,7,5,50,0.054981887143200625
0.7592836861074159,0.8342507961311896,0.7790251213156144,7,5,40,0.055225674815575165
0.7653420744885819,0.8356035619540075,0.780244866201747,7,5,60,0.05535869575226049
0.765536097129879,0.8348092520095167,0.7790911091587536,7,5,70,0.05571814285076315
0.7661824215213467,0.8358965147024598,0.7799098795575902,7,5,100,0.05598663514486968
0.7687207078402054,0.844932087866909,0.7776302491637641,7,7,40,0.06730183870314488
0.7704349724331724,0.8461597429928981,0.7780568171058639,7,7,45,0.06810292588703415
0.7741482006535501,0.8474708143729601,0.7793550499844154,7,7,100,0.06811576438854472
0.7723703376741553,0.8466902258434333,0.7780340498227211,7,7,50,0.06865617602071228
0.77287462183804,0.8476380033466022,0.7789532353787914,7,7,70,0.06868476796781087
0.7721366147200305,0.8473165156812131,0.7785513747869717,7,7,60,0.06876514089424146
0.7752197266733948,0.8571846709957198,0.7834714292888023,7,10,70,0.07371324170691751
0.772340788059251,0.8557218319428395,0.7819151839656252,7,10,40,0.07380664797721426
0.7732253669089442,0.8563492521110211,0.7819678469634326,7,10,45,0.07438140514758851
0.7725280682115154,0.8558230496278569,0.7809970769196665,7,10,50,0.07482597270819047
0.7748927788336928,0.8570082470809596,0.7820259848421429,7,10,60,0.07498226223881665
0.7764272334951692,0.8573230568478711,0.7819594353757272,7,10,100,0.07536362147214393
0.7695902963557739,0.8953878712483586,0.7803848107168461,10,3,100,0.11500306053151255
0.7632875805216544,0.8924706922869832,0.7766497145452906,10,3,60,0.11582097774169253
0.766307596860512,0.8938210901555234,0.7778070434827243,10,3,70,0.11601404667279902
0.7619660841499938,0.8923131827636828,0.77614114531587,10,3,50,0.11617203744781279
0.7595271882594781,0.8912523228791913,0.7749178815847639,10,3,45,0.11633444129442738
0.7565913542856462,0.8901140538172023,0.773030919931688,10,3,40,0.11708313388551428
0.7791208304469217,0.9123407332576885,0.7882069961306668,10,5,100,0.12413373712702169
0.7782433459733904,0.9115546721692301,0.786964417084115,10,5,50,0.12459025508511512
0.7803204054033691,0.9118897833163908,0.7868689983798651,10,5,70,0.1250207849365257
0.7773138887932987,0.9113329634349188,0.785821480041264,10,5,45,0.1255114833936548
0.7787861765668292,0.9114860456867376,0.7857910556600124,10,5,60,0.12569499002672524
0.7748914119784949,0.9105376370146216,0.7846580838684196,10,5,40,0.12587955314620203
0.7836722420553964,0.9224038038643567,0.7883345987799937,10,7,100,0.13406920508436304
0.7816730514248785,0.9230182779344536,0.7865618555980189,10,7,70,0.13645642233643462
0.7815187601985902,0.922963583951498,0.786178305852517,10,7,60,0.136785278098981
0.7800636789524809,0.9223148133112213,0.785253493912222,10,7,50,0.13706131939899935
0.7763115875231186,0.9220646023041356,0.7838523249038284,10,7,40,0.13821227740030717
0.7794820119344747,0.9288319150445788,0.7905238079164504,10,10,70,0.13830810712812847
0.7802092786481424,0.9228290089468222,0.7844773955428427,10,7,45,0.1383516134039795
0.7733692313750654,0.927012586838174,0.7886036431123138,10,10,40,0.1384089437258602
0.7792335332144589,0.9284039601533138,0.7896094455284521,10,10,60,0.1387945146248617
0.7823453639564243,0.9295251481112488,0.790622495001985,10,10,100,0.13890265310926375
0.7770973254985265,0.9280569908836924,0.7889015112324201,10,10,45,0.13915547965127228
0.7792701771433698,0.9287457544405463,0.7885407952057955,10,10,50,0.14020495923475085
0.7776808203028465,0.9637572074007584,0.791082189865359,15,5,70,0.17267501753539938
0.7820804677000982,0.9645579708626486,0.7917523865835103,15,5,100,0.17280558427913828
0.7726669586458348,0.9646542468922145,0.7912781451488625,15,7,60,0.17337610174335194
0.7736945972825086,0.9647824674548219,0.79100931106496,15,7,70,0.1737731563898619
0.7726287336969915,0.963055657449443,0.7892728810529763,15,5,50,0.17378277639646666
0.7701252297747455,0.9625251651415195,0.7884799665106883,15,5,45,0.17404519863083123
0.7779269237043936,0.9656078984336706,0.7915173887109472,15,7,100,0.17409050972272333
0.7714441532063077,0.9645698349825469,0.7900508924964145,15,7,50,0.17451894248613242
0.7753739971904307,0.9633321920765032,0.7884830661693357,15,5,60,0.1748491259071675
0.7736642250162786,0.9600357496640749,0.7845707540759489,15,3,100,0.175464995588126
